================================================================================
     MEMORY ACCUMULATION AND PERFORMANCE DEGRADATION BENCHMARK     
================================================================================
Connecting to Cassandra...
Connected to the keyspace network_giustino


Starting incremental injection (Batch Size: 2000 users, Max Cap: 1000000).
The test will terminate if latency remains >= 2.0x the baseline for 3 consecutive batches.
--------------------------------------------------------------------------------
[BATCH #38] Inserted 2000 users | Total: 76000  | Payload Size: ~76000  KB | Latency: 760.54 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #39] Inserted 2000 users | Total: 78000  | Payload Size: ~78000  KB | Latency: 752.56 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #40] Inserted 2000 users | Total: 80000  | Payload Size: ~80000  KB | Latency: 830.95 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #41] Inserted 2000 users | Total: 82000  | Payload Size: ~82000  KB | Latency: 795.24 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #42] Inserted 2000 users | Total: 84000  | Payload Size: ~84000  KB | Latency: 838.58 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #43] Inserted 2000 users | Total: 86000  | Payload Size: ~86000  KB | Latency: 864.10 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #44] Inserted 2000 users | Total: 88000  | Payload Size: ~88000  KB | Latency: 737.42 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #45] Inserted 2000 users | Total: 90000  | Payload Size: ~90000  KB | Latency: 878.97 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #46] Inserted 2000 users | Total: 92000  | Payload Size: ~92000  KB | Latency: 881.24 ms | Delta vs Base: 0.19x (Streak: 0/3) | Status: OK
[BATCH #47] Inserted 2000 users | Total: 94000  | Payload Size: ~94000  KB | Latency: 1082.62 ms | Delta vs Base: 0.23x (Streak: 0/3) | Status: OK
[BATCH #48] Inserted 2000 users | Total: 96000  | Payload Size: ~96000  KB | Latency: 815.50 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #49] Inserted 2000 users | Total: 98000  | Payload Size: ~98000  KB | Latency: 744.41 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #50] Inserted 2000 users | Total: 100000 | Payload Size: ~100000 KB | Latency: 834.80 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #51] Inserted 2000 users | Total: 102000 | Payload Size: ~102000 KB | Latency: 867.81 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #52] Inserted 2000 users | Total: 104000 | Payload Size: ~104000 KB | Latency: 1974.07 ms | Delta vs Base: 0.42x (Streak: 0/3) | Status: OK
[BATCH #53] Inserted 2000 users | Total: 106000 | Payload Size: ~106000 KB | Latency: 805.38 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #54] Inserted 2000 users | Total: 108000 | Payload Size: ~108000 KB | Latency: 786.17 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #55] Inserted 2000 users | Total: 110000 | Payload Size: ~110000 KB | Latency: 2918.89 ms | Delta vs Base: 0.61x (Streak: 0/3) | Status: OK
[BATCH #56] Inserted 2000 users | Total: 112000 | Payload Size: ~112000 KB | Latency: 809.97 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #57] Inserted 2000 users | Total: 114000 | Payload Size: ~114000 KB | Latency: 753.64 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
